num,date_time,전력사용량(kWh),기온(°C),풍속(m/s),습도(%),강수량(mm),일조(hr),비전기냉방설비운영,태양광보유
1,2020-06-01 00,8179.056,17.6,2.5,92,0.8,0,0,0
1,2020-06-01 01,8135.64,17.7,2.9,91,0.3,0,0,0
1,2020-06-01 02,8107.128,17.5,3.2,91,0,0,0,0
1,2020-06-01 03,8048.808,17.1,3.2,91,0,0,0,0
1,2020-06-01 04,8043.624,17,3.3,92,0,0,0,0
1,2020-06-01 05,8010.576,16.9,3.4,93,0,0,0,0
1,2020-06-01 06,7978.176,16.7,3.4,90,0.1,0,0,0
1,2020-06-01 07,8019,16.9,2.3,86,0,0.1,0,0
1,2020-06-01 08,8020.944,17.8,3.3,80,0,0.3,0,0
1,2020-06-01 09,8083.152,19.3,2.1,73,0,0.7,0,0
1,2020-06-01 10,8116.2,20.5,3.4,62,0,1,0,0
1,2020-06-01 11,8104.536,22.1,3.6,52,0,1,0,0
1,2020-06-01 12,8088.984,23.1,4,49,0,1,0,0
1,2020-06-01 13,8102.592,23.1,5.1,42,0,1,0,0
1,2020-06-01 14,8088.336,23.6,5.1,39,0,1,0,0
1,2020-06-01 15,8076.672,23.8,5.5,40,0,1,0,0
1,2020-06-01 16,8032.608,24.4,3,39,0,1,0,0
1,2020-06-01 17,8013.816,23.6,4.4,41,0,1,0,0
1,2020-06-01 18,8029.368,22.7,4.1,42,0,1,0,0
1,2020-06-01 19,8028.072,21.3,4.2,44,0,1,0,0
1,2020-06-01 20,7994.376,19.8,2.5,51,0,0.4,0,0
1,2020-06-01 21,7974.936,18.6,2.5,55,0,0,0,0
1,2020-06-01 22,7972.992,17.9,2,62,0,0,0,0
1,2020-06-01 23,7945.128,17.2,2,68,0,0,0,0
1,2020-06-02 00,7920.504,16.6,1.6,74,0,0,0,0
1,2020-06-02 01,7890.048,16.2,0.8,77,0,0,0,0
1,2020-06-02 02,7868.016,15.9,1.1,78,0,0,0,0
1,2020-06-02 03,7847.28,15.7,0.4,78,0,0,0,0
1,2020-06-02 04,7799.328,15.5,0.9,79,0,0,0,0
1,2020-06-02 05,7801.92,14.8,1.3,79,0,0,0,0
1,2020-06-02 06,7784.424,15,2.2,79,0,0,0,0
1,2020-06-02 07,7836.912,15.5,1.4,77,0,0,0,0
1,2020-06-02 08,7873.2,16,2.2,75,0,0,0,0
1,2020-06-02 09,7914.024,16.9,2.5,71,0,0,0,0
1,2020-06-02 10,7973.64,17.3,2.5,65,0,0,0,0
1,2020-06-02 11,7989.84,17.5,2.6,70,0,0,0,0
1,2020-06-02 12,7935.408,16.3,2.9,80,1.9,0,0,0
1,2020-06-02 13,7923.744,17.5,2.2,68,0,0,0,0
1,2020-06-02 14,7966.512,20.4,3.1,51,0,0.1,0,0
1,2020-06-02 15,7996.32,20.9,2.2,48,0,0,0,0
1,2020-06-02 16,8053.992,21.7,2.5,46,0,0.1,0,0
1,2020-06-02 17,8061.12,21.2,3.3,55,0,0,0,0
1,2020-06-02 18,8059.176,20.6,2.4,58,0,0,0,0
1,2020-06-02 19,8061.12,20.3,2.9,61,0,0,0,0
1,2020-06-02 20,8066.952,19.9,3.1,65,0,0,0,0
1,2020-06-02 21,8111.664,19.6,2.7,70,0,0,0,0
1,2020-06-02 22,8140.824,19.3,2.2,74,0,0,0,0
1,2020-06-02 23,8120.088,19,1.7,79,0,0,0,0
1,2020-06-03 00,8114.904,18.4,1.7,84,0.1,0,0,0
1,2020-06-03 01,8094.816,18.3,2,86,0,0,0,0
1,2020-06-03 02,8090.28,18.2,1.8,89,0,0,0,0
1,2020-06-03 03,8091.576,18.2,1.3,89,0,0,0,0
1,2020-06-03 04,8057.88,18.1,1.5,87,0,0,0,0
1,2020-06-03 05,8038.44,18.1,1.3,88,0,0,0,0
1,2020-06-03 06,8019.648,17.6,0.4,89,0,0,0,0
1,2020-06-03 07,8094.816,18.3,1.8,88,0,0.3,0,0
1,2020-06-03 08,8151.84,19.7,2,82,0,0.9,0,0
1,2020-06-03 09,8201.088,20.8,0.8,76,0,0.4,0,0
1,2020-06-03 10,8261.352,22,1.4,73,0,0.2,0,0
1,2020-06-03 11,8278.2,23.1,2.2,68,0,0.3,0,0
1,2020-06-03 12,8319.672,24.4,2.6,58,0,0.6,0,0
1,2020-06-03 13,8363.736,26.1,2.2,55,0,1,0,0
1,2020-06-03 14,8458.992,26.8,2.7,50,0,1,0,0
1,2020-06-03 15,8483.616,27.9,2.5,52,0,1,0,0
1,2020-06-03 16,8506.944,28.2,2.8,48,0,1,0,0
1,2020-06-03 17,8530.92,28.1,3.8,49,0,1,0,0
1,2020-06-03 18,8655.984,26.1,4.5,60,0,1,0,0
1,2020-06-03 19,8461.584,23.8,4.8,68,0,0.8,0,0
1,2020-06-03 20,8344.296,21,5.2,80,0,0,0,0
1,2020-06-03 21,8322.912,20.5,3.1,81,0,0,0,0
1,2020-06-03 22,8271.72,20.4,2.4,81,0,0,0,0
1,2020-06-03 23,8255.52,20.1,2.2,81,0,0,0,0
1,2020-06-04 00,8254.872,20.1,1.5,81,0,0,0,0
1,2020-06-04 01,8230.896,20,2.2,83,0,0,0,0
1,2020-06-04 02,8245.8,20.1,1,84,0,0,0,0
1,2020-06-04 03,8257.464,20.4,2.6,86,0,0,0,0
1,2020-06-04 04,8240.616,20.5,2,88,0,0,0,0
1,2020-06-04 05,8308.008,20.3,2,91,0,0,0,0
1,2020-06-04 06,8262,20.1,3,91,0.1,0,0,0
1,2020-06-04 07,8296.992,20.1,2.2,90,0,0,0,0
1,2020-06-04 08,8328.096,20.1,3.5,89,0.1,0,0,0
1,2020-06-04 09,8347.536,20.6,3.1,90,0,0,0,0
1,2020-06-04 10,8363.736,22.4,2.7,76,0,0.5,0,0
1,2020-06-04 11,8386.416,23.9,2.8,68,0,0.6,0,0
1,2020-06-04 12,8435.664,25,3.1,63,0,0.8,0,0
1,2020-06-04 13,8591.184,26,3.1,60,0,1,0,0
1,2020-06-04 14,8638.488,26.4,3.8,60,0,1,0,0
1,2020-06-04 15,8663.112,25.4,4.2,66,0,0.5,0,0
1,2020-06-04 16,8671.536,24.3,3.6,70,0,0,0,0
1,2020-06-04 17,8652.096,23.2,4.1,75,0,0.1,0,0
1,2020-06-04 18,8626.176,22.8,3.1,77,0,0.2,0,0
1,2020-06-04 19,8665.704,21.7,3.3,80,0,0,0,0
1,2020-06-04 20,8646.264,21.4,2.5,83,0,0,0,0
1,2020-06-04 21,8659.872,20.8,1.9,86,0,0,0,0
1,2020-06-04 22,8657.28,20.3,1.6,89,0,0,0,0
1,2020-06-04 23,8604.144,19.9,1.4,91,0,0,0,0
1,2020-06-05 00,8598.96,19.7,2,90,0,0,0,0
1,2020-06-05 01,8573.04,19.5,1.4,90,0,0,0,0
1,2020-06-05 02,8561.376,19.3,1.6,90,0,0,0,0
1,2020-06-05 03,8549.064,19.3,1.6,90,0,0,0,0
1,2020-06-05 04,8529.624,18.9,1.5,90,0,0,0,0
1,2020-06-05 05,8506.296,18.4,1.3,92,0,0,0,0
1,2020-06-05 06,8516.664,18.7,1.3,92,0,0,0,0
1,2020-06-05 07,8563.32,19,1.1,90,0,0,0,0
1,2020-06-05 08,8588.592,19.9,2.2,86,0,0.1,0,0
1,2020-06-05 09,8622.288,21,1.5,77,0,0.2,0,0
1,2020-06-05 10,8645.616,22.3,1.3,71,0,0.6,0,0
1,2020-06-05 11,8617.104,23.9,2.5,67,0,0.8,0,0
1,2020-06-05 12,8625.528,25.1,2.2,60,0,0.8,0,0
1,2020-06-05 13,8630.064,26.3,1.8,57,0,0.9,0,0
1,2020-06-05 14,8678.016,27.2,2.8,50,0,1,0,0
1,2020-06-05 15,8660.52,27.8,3.2,48,0,1,0,0
1,2020-06-05 16,8658.576,28.5,2.6,46,0,1,0,0
1,2020-06-05 17,8671.536,28.6,2.1,46,0,1,0,0
1,2020-06-05 18,8650.152,27.9,2.6,49,0,1,0,0
1,2020-06-05 19,8657.28,25.8,3.3,60,0,0.4,0,0
1,2020-06-05 20,8651.448,24.4,2,64,0,0,0,0
1,2020-06-05 21,8650.8,23.1,1.7,66,0,0,0,0
1,2020-06-05 22,8648.856,22.4,1.4,72,0,0,0,0
1,2020-06-05 23,8620.344,21.7,2.1,72,0,0,0,0
1,2020-06-06 00,8617.752,21.1,0.9,73,0,0,0,0
1,2020-06-06 01,8611.92,20.7,1.1,77,0,0,0,0
1,2020-06-06 02,8602.848,20.3,0.9,80,0,0,0,0
1,2020-06-06 03,8574.336,20.1,1,80,0,0,0,0
1,2020-06-06 04,8577.576,19.7,1.7,81,0,0,0,0
1,2020-06-06 05,8539.344,19.4,1.5,82,0,0,0,0
1,2020-06-06 06,8512.776,19.2,1.2,82,0,0,0,0
1,2020-06-06 07,8549.064,20.1,1.8,79,0,0.2,0,0
1,2020-06-06 08,8554.248,22,2.1,70,0,1,0,0
1,2020-06-06 09,8552.304,24,2.3,65,0,1,0,0
1,2020-06-06 10,8558.784,25.6,2.4,58,0,1,0,0
1,2020-06-06 11,8563.968,26.1,1.6,57,0,0.3,0,0
1,2020-06-06 12,8593.128,28.2,2.4,50,0,1,0,0
1,2020-06-06 13,8592.48,29.3,1.8,47,0,0.9,0,0
1,2020-06-06 14,8611.92,29.4,2,45,0,0.5,0,0
1,2020-06-06 15,8631.36,30.5,2.5,42,0,0.9,0,0
1,2020-06-06 16,8619.048,30.6,1.8,41,0,0.6,0,0
1,2020-06-06 17,8622.288,29.1,3.8,52,0,0.2,0,0
1,2020-06-06 18,8611.92,28.1,3.4,55,0,1,0,0
1,2020-06-06 19,8610.624,27.1,2.2,59,0,0,0,0
1,2020-06-06 20,8598.96,26,1.7,60,0,0,0,0
1,2020-06-06 21,8609.328,25.2,2.6,62,0,0,0,0
1,2020-06-06 22,8614.512,24.8,2,63,0,0,0,0
1,2020-06-06 23,8590.536,23.4,2.8,66,0,0,0,0
1,2020-06-07 00,8600.904,21.4,2.5,73,0,0,0,0
1,2020-06-07 01,8574.336,20.7,2.6,75,0,0,0,0
1,2020-06-07 02,8536.752,20,2.6,77,0,0,0,0
1,2020-06-07 03,8534.808,19.4,1.4,78,0,0,0,0
1,2020-06-07 04,8514.72,19.3,1.4,78,0,0,0,0
1,2020-06-07 05,8482.32,19.4,0.6,76,0,0,0,0
1,2020-06-07 06,8472.6,19.6,1.8,78,0,0,0,0
1,2020-06-07 07,8506.296,19.6,2.1,78,0,0,0,0
1,2020-06-07 08,8533.512,20.1,1.9,78,0,0,0,0
1,2020-06-07 09,8530.272,20.9,2,75,0,0.1,0,0
1,2020-06-07 10,8559.432,22.4,2.4,69,0,0.3,0,0
1,2020-06-07 11,8595.72,24.4,2.9,62,0,0.9,0,0
1,2020-06-07 12,8569.8,24.8,2.3,61,0,1,0,0
1,2020-06-07 13,8595.072,26.1,2.4,56,0,1,0,0
1,2020-06-07 14,8619.048,27.4,1.7,50,0,1,0,0
1,2020-06-07 15,8620.344,28.4,3,45,0,1,0,0
1,2020-06-07 16,8604.144,28.9,3.2,49,0,1,0,0
1,2020-06-07 17,8602.2,28,3.6,52,0,1,0,0
1,2020-06-07 18,8585.352,25.7,4.3,62,0,1,0,0
1,2020-06-07 19,8612.568,24.5,3.3,67,0,0.9,0,0
1,2020-06-07 20,8626.176,23,2.2,72,0,0,0,0
1,2020-06-07 21,8626.176,22.3,2.1,75,0,0,0,0
1,2020-06-07 22,8621.64,21.6,2.2,77,0,0,0,0
1,2020-06-07 23,8619.048,21,1.6,80,0,0,0,0
1,2020-06-08 00,8584.056,20.6,2,81,0,0,0,0
1,2020-06-08 01,8582.112,19.9,2.6,85,0,0,0,0
1,2020-06-08 02,8567.856,19.8,1.1,85,0,0,0,0
1,2020-06-08 03,8561.376,19.8,1.1,86,0,0,0,0
1,2020-06-08 04,8548.416,20,0.9,86,0,0,0,0
1,2020-06-08 05,8509.536,20.1,0.7,86,0,0,0,0
1,2020-06-08 06,8504.352,20.3,1.2,85,0,0,0,0
1,2020-06-08 07,8556.84,21,1.2,84,0,0.2,0,0
1,2020-06-08 08,8579.52,22.5,1.2,77,0,0.9,0,0
1,2020-06-08 09,8639.784,23.6,2,73,0,0.4,0,0
1,2020-06-08 10,8650.152,25.5,1.4,65,0,1,0,0
1,2020-06-08 11,8664.408,26.8,1.5,58,0,1,0,0
1,2020-06-08 12,8650.8,28.9,2.1,49,0,1,0,0
1,2020-06-08 13,8665.056,29.8,2.8,46,0,1,0,0
1,2020-06-08 14,8668.944,30.6,2.9,44,0,1,0,0
1,2020-06-08 15,8679.312,31.2,2.2,41,0,1,0,0
1,2020-06-08 16,8722.728,31.6,2.8,43,0,1,0,0
1,2020-06-08 17,8708.472,30.7,3.8,45,0,1,0,0
1,2020-06-08 18,8655.336,28.5,5.1,53,0,1,0,0
1,2020-06-08 19,8650.152,26.4,3.8,57,0,0.8,0,0
1,2020-06-08 20,8668.944,25.4,3.8,63,0,0,0,0
1,2020-06-08 21,8671.536,24.4,2.6,60,0,0,0,0
1,2020-06-08 22,8675.424,23.8,2,60,0,0,0,0
1,2020-06-08 23,8612.568,23.4,0.6,60,0,0,0,0
1,2020-06-09 00,8605.44,22.9,1.4,62,0,0,0,0
1,2020-06-09 01,8578.872,22.5,0.9,63,0,0,0,0
1,2020-06-09 02,8552.304,22,1.6,65,0,0,0,0
1,2020-06-09 03,8542.584,21.4,1.3,67,0,0,0,0
1,2020-06-09 04,8503.704,20.9,2.2,70,0,0,0,0
1,2020-06-09 05,8488.152,20.5,1.5,71,0,0,0,0
1,2020-06-09 06,8481.024,20.4,1.5,73,0,0,0,0
1,2020-06-09 07,8566.56,21.4,1.8,71,0,1,0,0
1,2020-06-09 08,8573.688,23.9,1.1,64,0,1,0,0
1,2020-06-09 09,8613.216,25.8,1.8,58,0,1,0,0
1,2020-06-09 10,8617.752,27.7,1.2,50,0,1,0,0
1,2020-06-09 11,8616.456,29.5,3.1,40,0,1,0,0
1,2020-06-09 12,8171.928,31.1,1.8,40,0,1,0,0
1,2020-06-09 13,8681.904,31.9,3.4,38,0,1,0,0
1,2020-06-09 14,8651.448,32.6,3.7,36,0,1,0,0
1,2020-06-09 15,8670.888,32.7,3,38,0,1,0,0
1,2020-06-09 16,8657.28,32.5,3.5,41,0,0.9,0,0
1,2020-06-09 17,8655.984,31.9,3.6,38,0,1,0,0
1,2020-06-09 18,8633.304,31.2,3,36,0,1,0,0
1,2020-06-09 19,8625.528,30,3.2,36,0,0.9,0,0
1,2020-06-09 20,8587.944,28.2,3.5,46,0,0.1,0,0
1,2020-06-09 21,8601.552,26.6,2.3,49,0,0,0,0
1,2020-06-09 22,8618.4,25.7,1.4,52,0,0,0,0
1,2020-06-09 23,8609.328,25.2,2.3,53,0,0,0,0
1,2020-06-10 00,8602.848,24.6,1.6,52,0,0,0,0
1,2020-06-10 01,8562.024,24.3,1.2,54,0,0,0,0
1,2020-06-10 02,8561.376,23.9,0.6,55,0,0,0,0
1,2020-06-10 03,8524.44,23.6,1.7,57,0,0,0,0
1,2020-06-10 04,8510.832,23.2,1.7,57,0,0,0,0
1,2020-06-10 05,8493.336,22.8,0.5,59,0,0,0,0
1,2020-06-10 06,8484.264,22.5,1.4,61,0,0,0,0
1,2020-06-10 07,8521.848,23.4,2.5,64,0,0.2,0,0
1,2020-06-10 08,8567.856,24.9,1.6,58,0,0.7,0,0
1,2020-06-10 09,8604.792,26.6,2.1,54,0,0.5,0,0
1,2020-06-10 10,8607.384,29,1.1,48,0,0.9,0,0
1,2020-06-10 11,8646.264,30.3,2.5,44,0,0.8,0,0
1,2020-06-10 12,8651.448,31,3.2,42,0,0.7,0,0
1,2020-06-10 13,8639.136,31.1,2.6,44,0,0.4,0,0
1,2020-06-10 14,8688.384,31.9,2.5,42,0,0.4,0,0
1,2020-06-10 15,8727.264,31.9,2.7,45,0,0.3,0,0
1,2020-06-10 16,8696.808,30.5,3,50,0,0.3,0,0
1,2020-06-10 17,8670.24,28.7,3.4,55,0,0,0,0
1,2020-06-10 18,8622.288,25.1,5.8,74,0,0,0,0
1,2020-06-10 19,8611.272,24.6,2.6,77,0,0,0,0
1,2020-06-10 20,8628.12,23.7,2.8,83,1,0,0,0
1,2020-06-10 21,8618.4,22.8,2,88,2.4,0,0,0
1,2020-06-10 22,8626.824,22.6,0.2,88,2.4,0,0,0
1,2020-06-10 23,8628.12,22.6,0.9,89,0.2,0,0,0
1,2020-06-11 00,8584.704,22.5,0.9,89,0.2,0,0,0
1,2020-06-11 01,8587.296,22.4,2,91,0,0,0,0
1,2020-06-11 02,8558.784,22.1,1.5,90,0,0,0,0
1,2020-06-11 03,8526.384,22.2,1.4,90,0,0,0,0
1,2020-06-11 04,8529.624,22.1,1.1,90,0,0,0,0
1,2020-06-11 05,8516.664,21.8,1.3,89,0,0,0,0
1,2020-06-11 06,8508.24,21.9,1.5,88,0,0,0,0
1,2020-06-11 07,8527.032,22.4,2,87,0,0,0,0
1,2020-06-11 08,8560.728,23.2,1.2,83,0,0,0,0
1,2020-06-11 09,8609.328,24.2,1.1,80,0,0,0,0
1,2020-06-11 10,8620.344,25.9,1,72,0,0.4,0,0
1,2020-06-11 11,8625.528,27.2,2.5,66,0,0.6,0,0
1,2020-06-11 12,8650.152,28.2,3.5,61,0,0.9,0,0
1,2020-06-11 13,8623.584,29.2,2.5,57,0,1,0,0
1,2020-06-11 14,8642.376,30.2,3,52,0,1,0,0
1,2020-06-11 15,8625.528,31.2,2.7,44,0,1,0,0
1,2020-06-11 16,8623.584,31.3,3.6,44,0,1,0,0
1,2020-06-11 17,8647.56,31.4,3.2,44,0,1,0,0
1,2020-06-11 18,8615.16,30.5,3.2,45,0,1,0,0
1,2020-06-11 19,8598.312,29.1,2.3,49,0,0.1,0,0
1,2020-06-11 20,8612.568,27.7,3.7,63,0,0,0,0
1,2020-06-11 21,8582.76,26,4.2,65,0,0,0,0
1,2020-06-11 22,8591.832,25.1,2.8,70,0,0,0,0
1,2020-06-11 23,8566.56,24.6,1.6,72,0,0,0,0
1,2020-06-12 00,8553.6,24.3,1.3,73,0,0,0,0
1,2020-06-12 01,8540.64,23.7,1.6,75,0,0,0,0
1,2020-06-12 02,8503.704,23.3,1,76,0,0,0,0
1,2020-06-12 03,8456.4,22.7,1.3,80,0,0,0,0
1,2020-06-12 04,8453.16,22.1,1.7,82,0,0,0,0
1,2020-06-12 05,8441.496,21.7,1.7,83,0,0,0,0
1,2020-06-12 06,8426.592,21.7,0.6,83,0,0,0,0
1,2020-06-12 07,8477.136,22.2,1.7,82,0,0.1,0,0
1,2020-06-12 08,8501.112,23.5,1.8,79,0,0.1,0,0
1,2020-06-12 09,8558.136,25.1,1.3,71,0,0.3,0,0
1,2020-06-12 10,8582.112,26,1.9,67,0,0,0,0
1,2020-06-12 11,8536.104,26.5,1.7,56,0,0,0,0
1,2020-06-12 12,8541.288,26.8,1.9,62,0,0,0,0
1,2020-06-12 13,8570.448,27.3,2.1,51,0,0,0,0
1,2020-06-12 14,8597.016,27.4,2.4,50,0,0,0,0
1,2020-06-12 15,8570.448,27.1,2.6,58,0,0,0,0
1,2020-06-12 16,8604.144,27.4,2.4,50,0,0,0,0
1,2020-06-12 17,8558.136,27,2.4,52,0,0,0,0
1,2020-06-12 18,8520.552,26.8,1.9,55,0,0,0,0
1,2020-06-12 19,8576.928,26.3,1.9,58,0,0,0,0
1,2020-06-12 20,8558.784,25.6,2.2,63,0,0,0,0
1,2020-06-12 21,8563.32,24.6,2.1,69,0,0,0,0
1,2020-06-12 22,8587.944,24.1,1.8,71,0,0,0,0
1,2020-06-12 23,8554.248,23.5,1.8,72,0,0,0,0
1,2020-06-13 00,8531.568,23,0.9,71,0,0,0,0
1,2020-06-13 01,8537.4,22.5,0.5,72,0,0,0,0
1,2020-06-13 02,8516.664,22.4,0.9,67,0,0,0,0
1,2020-06-13 03,8530.92,21.7,0.9,69,0,0,0,0
1,2020-06-13 04,8532.216,21.4,0.3,72,0,0,0,0
1,2020-06-13 05,8466.768,21,1.2,76,0,0,0,0
1,2020-06-13 06,8456.4,20.7,0.5,77,0,0,0,0
1,2020-06-13 07,8497.224,21.5,1.4,76,0,0.1,0,0
1,2020-06-13 08,8482.968,23.7,2.2,68,0,0.7,0,0
1,2020-06-13 09,8456.4,25.6,1.7,59,0,1,0,0
1,2020-06-13 10,8505.648,27.5,1.2,44,0,1,0,0
1,2020-06-13 11,8508.24,29.1,1.8,34,0,1,0,0
1,2020-06-13 12,8532.864,30.7,1.6,34,0,1,0,0
1,2020-06-13 13,8561.376,31.9,1.8,29,0,1,0,0
1,2020-06-13 14,8558.784,32.7,2,29,0,1,0,0
1,2020-06-13 15,8572.392,33.1,3.7,33,0,1,0,0
1,2020-06-13 16,8600.904,33,2.9,38,0,1,0,0
1,2020-06-13 17,8620.992,32,3,42,0,0.8,0,0
1,2020-06-13 18,8646.264,30.7,2.7,46,0,0.1,0,0
1,2020-06-13 19,8650.152,29.7,3,51,0,0,0,0
1,2020-06-13 20,8587.296,28.1,4.3,50,0,0,0,0
1,2020-06-13 21,8605.44,27.2,3.4,45,0,0,0,0
1,2020-06-13 22,8576.28,26.5,3.5,46,0,0,0,0
1,2020-06-13 23,8565.264,26,0.7,52,0,0,0,0
1,2020-06-14 00,8536.752,25.6,1.5,59,0,0,0,0
1,2020-06-14 01,8521.2,25.1,2.4,68,0,0,0,0
1,2020-06-14 02,8514.72,23.8,0.9,73,0,0,0,0
1,2020-06-14 03,8503.704,22.6,2.4,87,0.3,0,0,0
1,2020-06-14 04,8503.056,22.1,1.5,89,0.8,0,0,0
1,2020-06-14 05,8484.912,22.2,2,89,0,0,0,0
1,2020-06-14 06,8466.768,22.1,1.4,88,0,0,0,0
1,2020-06-14 07,8488.8,22.4,1.6,84,0,0.1,0,0
1,2020-06-14 08,8477.784,22.7,2.2,79,0,0,0,0
1,2020-06-14 09,8468.064,23.2,2.1,76,0,0,0,0
1,2020-06-14 10,8482.968,23.4,2.1,70,0,0,0,0
1,2020-06-14 11,8488.8,24.3,2.6,67,0,0,0,0
1,2020-06-14 12,8494.632,26.4,3.2,52,0,0.8,0,0
1,2020-06-14 13,8481.024,27.9,4.1,43,0,1,0,0
1,2020-06-14 14,8481.024,28.2,4.5,45,0,1,0,0
1,2020-06-14 15,8492.04,28.5,4.5,48,0,1,0,0
1,2020-06-14 16,8484.264,28.6,4.3,48,0,1,0,0
1,2020-06-14 17,8501.112,28.5,4.5,53,0,1,0,0
1,2020-06-14 18,8520.552,26.9,4,59,0,0.9,0,0
1,2020-06-14 19,8525.736,24.9,4.4,66,0,1,0,0
1,2020-06-14 20,8525.088,23,4.1,72,0,0.3,0,0
1,2020-06-14 21,8552.304,22.2,2.9,74,0,0,0,0
1,2020-06-14 22,8508.24,21.4,3,76,0,0,0,0
1,2020-06-14 23,8488.152,20.8,2.2,78,0,0,0,0
1,2020-06-15 00,8481.672,20.1,2.4,81,0,0,0,0
1,2020-06-15 01,8466.768,19.7,0.8,82,0,0,0,0
1,2020-06-15 02,8446.68,19.3,0.7,82,0,0,0,0
1,2020-06-15 03,8436.96,19.1,1.6,84,0,0,0,0
